# Expected 4b yields from applying JCM to 3b data
# Region: SB, Weight Set: 
# Lowpt mode: False
# mu_qcd: 0.087266
#
# For processor comparison: these are the yields you should get
# when you process 3b events and apply JCM weights
# subtract3bTT: False
#
nJet_bin   | 3b_data      | 4b_data      | nUntagged  | JCM_weight   | Pred_from_3b    | Pred/4b     
==============================================================================================================
0          | 0.0          | 298906.0     | 0          | 0.000000     | 0.0             | 0.0000      
1          | 0.0          | 14724.0      | 0          | 0.000000     | 0.0             | 0.0000      
2          | 0.0          | 600.0        | 0          | 0.000000     | 0.0             | 0.0000      
3          | 0.0          | 20.0         | 0          | 0.000000     | 0.0             | 0.0000      
4          | 1329058.0    | 63708.0      | 1          | 0.048948     | 65055.3         | 1.0211      
5          | 1210661.0    | 114068.0     | 2          | 0.091937     | 111305.0        | 0.9758      
6          | 538532.0     | 79755.0      | 3          | 0.130457     | 70255.3         | 0.8809      
7          | 169981.0     | 36803.0      | 4          | 0.165141     | 28070.9         | 0.7627      
8          | 44401.0      | 13776.0      | 5          | 0.196459     | 8723.0          | 0.6332      
9          | 10407.0      | 4387.0       | 6          | 0.224794     | 2339.4          | 0.5333      
10         | 2351.0       | 1295.0       | 7          | 0.250468     | 588.9           | 0.4547      
11         | 484.0        | 339.0        | 8          | 0.273761     | 132.5           | 0.3909      
12         | 113.0        | 85.0         | 9          | 0.294914     | 33.3            | 0.3921      
13         | 22.0         | 27.0         | 10         | 0.314143     | 6.9             | 0.2560      
14         | 1.0          | 7.0          | 11         | 0.331635     | 0.3             | 0.0474      
15         | 1.0          | 0.0          | 12         | 0.347558     | 0.3             | nan         
==============================================================================================================
TOTAL      | 3306012.0    | 628500.0     |            |              | 286511.1        | 0.4559      

# Processor prediction (3b × JCM): 286511.1
# Actual 4b data: 628500.0
# Ratio (prediction/data): 0.4559
# WARNING: Ratio deviates from 1.0 by more than 5%!
